molality,5,10,15,20,56,70,82
0.001,0.963,0.959,0.956,0.951,0.910,0.695,0.286
0.002,0.949,0.944,0.939,0.933,0.878,0.606,0.216
0.003,0.939,0.933,0.927,0.920,0.856,0.552,0.182
0.005,0.924,0.917,0.910,0.901,0.824,0.483,0.146
0.007,0.912,0.904,0.896,0.886,0.801,0.440,0.126
0.01,0.899,0.889,0.881,0.869,0.774,0.397,0.108
0.02,0.868,0.856,0.845,0.831,0.717,0.324,0.080
0.03,0.847,0.834,0.823,0.806,0.682,0.289,0.069
0.05,0.820,0.803,0.792,0.773,0.638,0.254,0.058
0.07,0.800,0.782,0.772,0.751,0.610,0.238,0.053
0.1,0.780,0.759,0.750,0.727,0.582,0.227,0.051
