# Summary of NMR spectra ( SCF GIAO Magnetic shielding)
# Values for element C only
# Reference:  TMS in DMF
# Reference shielding:  182.065 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
      216.9645000000         1.0000  25
      159.6435000000         1.0000  23
      159.4594000000         1.0000  46
      158.4697000000         1.0000  27
      153.8047000000         1.0000  15
      151.1168000000         2.0000  34,40
      151.0068000000         1.0000  52
      148.9895000000         1.0000  21
      147.8523000000         1.0000  19
      147.2332000000         1.0000  29
      146.8366000000         1.0000  31
      145.1977000000         1.0000  8
      144.9743000000         1.0000  4
      144.7850000000         1.0000  9
      144.5997000000         1.0000  5
      142.6719000000         1.0000  7
      140.4426000000         1.0000  24
      140.2931000000         1.0000  28
      137.0735000000         1.0000  26
      136.9270000000         1.0000  18
      136.0592000000         1.0000  53
      135.9949000000         1.0000  57
      135.1718000000         1.0000  35
      135.1046666667         3.0000  55,56,50
      134.9415500000         2.0000  48,3
      134.8400000000         2.0000  47,11
      134.5132000000         1.0000  6
      134.2489000000         1.0000  14
      134.1883000000         1.0000  38
      134.1305000000         1.0000  41
      133.9679000000         1.0000  54
      133.8819000000         3.0000  36,44,42
      133.1161000000         1.0000  30
      132.5646000000         1.0000  45
      132.3312000000         1.0000  49
      132.1273000000         1.0000  37
      131.9650000000         2.0000  39,20
      131.8711000000         1.0000  43
      131.6189000000         1.0000  2
      131.5625000000         2.0000  51,12
      130.2784000000         1.0000  13
      130.1478000000         1.0000  1
       92.5763000000         1.0000  17
       75.2479000000         1.0000  10
       60.3820000000         1.0000  22
