# Summary of NMR spectra ( SCF GIAO Magnetic shielding)
# Values for element H only
# Reference:  TMS/DMF
# Reference shielding:  31.6473 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        8.7830000000         1.0000  70
        8.6229000000         1.0000  94
        8.5031000000         1.0000  80
        8.2772000000         1.0000  75
        8.1905000000         1.0000  93
        8.0575000000         1.0000  72
        7.8786000000         1.0000  92
        7.7766250000         4.0000  76,81,86,87
        7.5980666667        12.0000  60,79,68,91,88,62,82,84,83,77,85,74
        7.4015666667         3.0000  90,78,69
        7.2419500000         2.0000  89,73
        7.0632200000         5.0000  63,67,59,58,64
        6.9078000000         1.0000  71
        6.6324000000         1.0000  65
        6.4623000000         1.0000  61
        5.4296000000         1.0000  33
        3.8188000000         1.0000  32
        3.2858000000         1.0000  66
