,0,1,4,2,3,8,5,6,14,7,10,9,12,11,13,16,15,20,18,17,19,22,21,24,23,28,25,26,27,30,29,42,31,32,33,34,35,36,37,38,39,40,41,44,43,47,45,46,49,48,51,50,53,52
220,0.027,0.03,0.026,0.027,0.019,0.025,0.017,0.025,0.008,0.029,0.027,0.014,0.022,0.023,-0.031,0.03,0.029,0.003,0.028,0.026,0.026,0.026,0.017,0.024,0.027,0.018,0.025,0.03,0.019,0.01,0.029,0.03,0.028,0.023,0.018,0.01,0.019,0.027,0.005,0.031,0.024,0.01,0.016,0.017,0.025,0.024,0.031,0.016,0.017,0.028,0.033,0.029,0.017,0.02
221,0.024,0.028,0.028,0.027,0.019,0.023,0.016,0.023,0.012,0.017,0.027,0.011,0.021,0.022,-0.024,0.029,0.027,0.0,0.025,0.026,0.025,0.025,0.022,0.025,0.026,0.017,0.024,0.029,0.016,0.01,0.028,0.029,0.026,0.02,0.015,0.012,0.018,0.024,0.009,0.03,0.024,0.006,0.017,0.017,0.023,0.021,0.03,0.016,0.016,0.028,0.031,0.028,0.016,0.018
222,0.024,0.028,0.031,0.023,0.018,0.02,0.016,0.023,0.012,0.014,0.027,0.01,0.022,0.022,-0.02,0.028,0.026,0.005,0.023,0.025,0.024,0.025,0.026,0.025,0.026,0.017,0.022,0.027,0.014,0.011,0.027,0.03,0.027,0.02,0.013,0.012,0.017,0.024,0.011,0.029,0.025,0.004,0.021,0.017,0.023,0.021,0.029,0.016,0.015,0.027,0.029,0.027,0.018,0.017
223,0.022,0.027,0.029,0.02,0.016,0.019,0.013,0.023,0.008,0.013,0.024,0.01,0.02,0.021,-0.017,0.027,0.024,0.006,0.018,0.023,0.023,0.023,0.024,0.023,0.025,0.014,0.02,0.025,0.012,0.011,0.025,0.029,0.025,0.018,0.012,0.009,0.016,0.022,0.016,0.026,0.023,0.0,0.02,0.015,0.022,0.021,0.026,0.014,0.012,0.024,0.027,0.025,0.016,0.015
224,0.022,0.024,0.025,0.018,0.014,0.018,0.012,0.022,0.006,0.019,0.023,0.009,0.018,0.02,-0.022,0.025,0.022,0.003,0.016,0.021,0.021,0.022,0.021,0.021,0.023,0.011,0.019,0.024,0.011,0.012,0.023,0.028,0.024,0.016,0.012,0.007,0.015,0.02,0.011,0.024,0.022,0.0,0.02,0.012,0.02,0.021,0.024,0.012,0.01,0.023,0.024,0.023,0.013,0.013
225,0.021,0.023,0.022,0.018,0.013,0.018,0.011,0.02,0.005,0.019,0.021,0.01,0.016,0.018,-0.02,0.022,0.02,0.002,0.016,0.019,0.019,0.022,0.017,0.019,0.02,0.009,0.016,0.023,0.009,0.012,0.021,0.025,0.022,0.014,0.011,0.003,0.013,0.017,0.003,0.022,0.019,0.0,0.015,0.01,0.019,0.02,0.022,0.011,0.009,0.022,0.022,0.022,0.011,0.012
226,0.02,0.022,0.021,0.015,0.012,0.016,0.009,0.018,0.003,0.017,0.02,0.009,0.015,0.016,-0.029,0.021,0.019,-0.002,0.017,0.017,0.016,0.021,0.014,0.017,0.019,0.008,0.015,0.022,0.008,0.009,0.019,0.022,0.021,0.013,0.009,0.001,0.011,0.016,0.006,0.021,0.018,-0.002,0.01,0.009,0.018,0.018,0.022,0.011,0.008,0.021,0.022,0.022,0.008,0.011
227,0.018,0.021,0.02,0.014,0.012,0.015,0.008,0.016,0.001,0.014,0.019,0.009,0.014,0.015,-0.031,0.02,0.018,-0.004,0.019,0.016,0.015,0.019,0.014,0.016,0.018,0.007,0.015,0.02,0.007,0.005,0.018,0.021,0.02,0.013,0.008,0.001,0.01,0.015,0.007,0.019,0.017,-0.004,0.011,0.008,0.017,0.018,0.021,0.01,0.007,0.02,0.022,0.021,0.007,0.01
228,0.018,0.021,0.019,0.013,0.011,0.013,0.006,0.016,-0.001,0.01,0.018,0.005,0.013,0.015,-0.028,0.019,0.018,-0.005,0.019,0.015,0.014,0.019,0.015,0.015,0.017,0.005,0.013,0.019,0.006,0.003,0.017,0.019,0.018,0.01,0.006,0.001,0.009,0.014,0.007,0.018,0.016,-0.008,0.01,0.006,0.015,0.015,0.02,0.008,0.005,0.018,0.021,0.019,0.005,0.007
229,0.017,0.019,0.017,0.014,0.01,0.012,0.004,0.015,-0.004,0.007,0.016,0.005,0.012,0.014,-0.031,0.019,0.016,-0.006,0.017,0.015,0.012,0.015,0.014,0.015,0.016,0.003,0.011,0.019,0.003,0.002,0.017,0.019,0.018,0.007,0.003,-0.003,0.006,0.013,0.004,0.017,0.015,-0.01,0.011,0.004,0.014,0.014,0.018,0.005,0.002,0.016,0.02,0.018,0.002,0.004
