uuid,local_index,global_index,vol#Acetonitrile,vol#E1OH02,vol#HBr,vol#HBr_dil_x_10,vol#HBr_dil_x_100,temperature,slot_id,plate_barcode,container_id,status,plate_barcodes_for_dilution,timestamp,full_status,timestamp_dilution,is_outlier,c#E1OH02,c#HBr,nanodrop_filepath,timestamp_nanodrop,pc#E1DB02,pc#E1OH02,yield,conversion,run_name
n4CXohdTgVrmpgUMfCXvUN,0,114,122.5689655,294.5,82.93103448,0.0,0,26,0,61,0,completed,59,1694668648,"{""Acetonitrile"": [""completed"", 1694667659], ""E1OH02"": [""completed"", 1694667984], ""HBr"": [""completed"", 1694668648]}",1694686542,0,0.011625,0.008293,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.006665960745854503,0.0019001536397902719,0.7781778815638304,0.8365459225936845,simple-reactions/2023-09-14-run01/
RYV2xCsmufvNTV4XiGxVYw,1,62,212.72413790000002,209.0,0.0,78.27586207,0,26,0,61,1,completed,59,1694669135,"{""Acetonitrile"": [""completed"", 1694667493], ""E1OH02"": [""completed"", 1694668133], ""HBr_dil_x_10"": [""completed"", 1694669135]}",1694686556,0,0.00825,0.000783,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0017339029596417175,0.0070827423461040625,0.19666243786757967,0.14148577170257895,simple-reactions/2023-09-14-run01/
5tdEfAQNut3FvVtji2A7mc,2,33,365.2586207,123.5,11.24137931,0.0,0,26,0,61,2,completed,59,1694669091,"{""Acetonitrile"": [""completed"", 1694667209], ""E1OH02"": [""completed"", 1694668312], ""HBr"": [""completed"", 1694669091]}",1694686571,0,0.004875,0.001124,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.002637128138831243,0.002266415427388618,0.5378004912606913,0.5350942688161036,simple-reactions/2023-09-14-run01/
8Grm8oJ2T3gVn57GrDWNH3,3,107,146.46551719999997,294.5,59.03448276,0.0,0,26,0,61,3,completed,59,1694668814,"{""Acetonitrile"": [""completed"", 1694667605], ""E1OH02"": [""completed"", 1694667997], ""HBr"": [""completed"", 1694668814]}",1694686585,0,0.011625,0.005903,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.008275788100899713,0.002127194549658589,0.7955207058290703,0.8170155216487355,simple-reactions/2023-09-14-run01/
jdLcFQJZXmwjyWuSgEtP7J,4,7,437.1034483,38.0,24.89655172,0.0,0,26,0,61,4,completed,59,1694669022,"{""Acetonitrile"": [""completed"", 1694667052], ""E1OH02"": [""completed"", 1694668440], ""HBr"": [""completed"", 1694669022]}",1694686599,0,0.0015,0.00249,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0012159652255273046,0.0001800842471114317,0.8710043944423786,0.8799438346139358,simple-reactions/2023-09-14-run01/
5eTTPtbmLjn2CpNFzZgwZ5,5,100,170.362069,294.5,35.13793103,0.0,0,26,0,61,5,completed,59,1694668964,"{""Acetonitrile"": [""completed"", 1694667592], ""E1OH02"": [""completed"", 1694668011], ""HBr"": [""completed"", 1694668964]}",1694686614,0,0.011625,0.003514,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005833196194665809,0.003929747396537469,0.597483345076551,0.6619572113779005,simple-reactions/2023-09-14-run01/
8TpjT9Gv5Gw74AiGyJHs5a,6,40,341.362069,123.5,35.13793103,0.0,0,26,0,61,6,completed,59,1694668975,"{""Acetonitrile"": [""completed"", 1694667239], ""E1OH02"": [""completed"", 1694668324], ""HBr"": [""completed"", 1694668975]}",1694686628,0,0.004875,0.003514,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0008997211887384856,0.0006310099328222564,0.5877721933432207,0.8705620643639994,simple-reactions/2023-09-14-run01/
MQicjCnYV9gYiMUiJzcvQ3,7,86,201.2413793,209.0,89.75862069,0.0,0,26,0,61,7,completed,59,1694668601,"{""Acetonitrile"": [""completed"", 1694667536], ""E1OH02"": [""completed"", 1694668145], ""HBr"": [""completed"", 1694668601]}",1694686642,0,0.00825,0.008976,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005552089979375177,0.0016114880034730967,0.7750442575858772,0.8046681197532765,simple-reactions/2023-09-14-run01/
jmjf5iS73YFSki7U6WuXTG,8,76,235.37931030000001,209.0,55.62068966,0.0,0,26,0,61,8,completed,59,1694668837,"{""Acetonitrile"": [""completed"", 1694667452], ""E1OH02"": [""completed"", 1694668158], ""HBr"": [""completed"", 1694668837]}",1694686657,0,0.00825,0.005562,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005066565925866279,0.0013481497884283561,0.7898348347029437,0.8365879035744684,simple-reactions/2023-09-14-run01/
DY7PoHgAXB4zUyJdYEZBkb,9,71,252.4482759,209.0,38.55172414,0.0,0,26,0,61,9,completed,59,1694668952,"{""Acetonitrile"": [""completed"", 1694667409], ""E1OH02"": [""completed"", 1694668171], ""HBr"": [""completed"", 1694668952]}",1694686671,0,0.00825,0.003855,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005835909824077076,0.001541840835409749,0.7910147812562434,0.8131102007568185,simple-reactions/2023-09-14-run01/
hXk7tm3Q7vrLjCkVr9bU5j,10,134,71.20689655,380.0,48.79310345,0.0,0,26,0,61,10,completed,59,1694668893,"{""Acetonitrile"": [""completed"", 1694667763], ""E1OH02"": [""completed"", 1694667846], ""HBr"": [""completed"", 1694668893]}",1694686686,0,0.015,0.004879,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.007169378270228687,0.004949067565909118,0.5916087233603212,0.670062160513057,simple-reactions/2023-09-14-run01/
BXoSJnNQP32e6ZiWpRrm3J,11,51,303.81034480000005,123.5,72.68965517,0.0,0,26,0,61,11,completed,59,1694668744,"{""Acetonitrile"": [""completed"", 1694667299], ""E1OH02"": [""completed"", 1694668335], ""HBr"": [""completed"", 1694668744]}",1694686700,0,0.004875,0.007269,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0035519919923283046,0.0010724795197693746,0.7680860360013564,0.7800041999128376,simple-reactions/2023-09-14-run01/
VZMeHB2sRWCSpnLxP4ovvG,12,73,245.62068969999999,209.0,45.37931034,0.0,0,26,0,61,12,completed,59,1694668917,"{""Acetonitrile"": [""completed"", 1694667438], ""E1OH02"": [""completed"", 1694668184], ""HBr"": [""completed"", 1694668917]}",1694686714,0,0.00825,0.004538,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.005388332740844333,0.0013890493144751769,0.7950463315868517,0.8316303852127781,simple-reactions/2023-09-14-run01/
mMAVVTe8MiN8bi5XKdiWhq,13,54,293.5689655,123.5,82.93103448,0.0,0,26,0,61,13,completed,59,1694668660,"{""Acetonitrile"": [""completed"", 1694667322], ""E1OH02"": [""completed"", 1694668348], ""HBr"": [""completed"", 1694668660]}",1694686729,0,0.004875,0.008293,simple-reactions/2023-09-14-run01/nanodrop_spectra/2023-09-14_20-06-23_plate_59.csv,1694689583.0,0.0037609881813656077,0.0010902432584672902,0.7752646370330986,0.7763603560536797,simple-reactions/2023-09-14-run01/
