,run,plate,vial,global_index,dil. Factor,V,vol#EtOH,vol#methoxybenzaldehyde,vol#ethyl_acetoacetate,vol#ammonium_acetate,methoxybenzaldehyde,ethyl_acetoacetate,ammonium_acetate,c#methoxybenzaldehyde,c#ethyl_acetoacetate,c#ammonium_acetate,HE_c_HPLC_insert,HE_c_HPLC,c#methoxybenzaldehyde/n,c#ethyl_acetoacetate/n,c#ammonium_acetate/n,c_limit,HE_y_HPLC,THP_c_HPLC_insert,THP_c_HPLC,c#methoxybenzaldehyde/n.1,c#ethyl_acetoacetate/n.1,c#ammonium_acetate/n.1,c_limit.1,THP_y_HPLC,EtOH_vol_u,methoxybenzaldehyde_vol_u,ethyl_acetoacetate_vol_u,ammonium_acetate_vol_u,vol_tol_u,dil_u,methoxybenzaldehyde_c_u,ethyl_acetoacetate_c_u,ammonium_acetate_c_u,HE_c_limit_after_dil_u,THP_c_limit_after_dil_u,HE_c_HPLC_u,THP_c_HPLC_u,HE_yield_u,THP_yield_u,HE_yield_u_relative_error_%,THP_yield_u_relative_error_%
0,2024-11-05-run01,73,3,34,19.55,544.2866666666646,55.9566666666666,162.776666666666,162.776666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.09968807287009691,0.09968807287009691,0.39875229148038704,0.0001573,0.003075215,0.09968807287009691,0.04984403643504846,0.39875229148038704,0.04984403643504846,6.16967488980813,0.0009204,0.01799382,0.04984403643504846,0.09968807287009691,0.19937614574019352,0.04984403643504846,36.100246462678975,56.0+/-0.6,162.8+/-1.6,162.8+/-1.6,162.8+/-1.6,544.3+/-2.9,19.08+/-0.19,0.0997+/-0.0014,0.0997+/-0.0014,0.399+/-0.005,0.00261+/-0.00004,0.00261+/-0.00004,0.000157+/-0.000008,0.000920+/-0.000035,6.02+/-0.32,35.9+/-1.5,5.351203336239033,4.171458968695909
3,2024-11-15-run01,94,5,76,19.6,546.846666666665,117.088333333333,162.776666666666,162.776666666666,104.205,0.333333333333333,0.333333333333333,1.33333333333333,0.09922139458145873,0.09922139458145873,0.2540748777841444,0.0002047,0.00401212,0.09922139458145873,0.049610697290729366,0.2540748777841444,0.049610697290729366,8.087207435299918,0.000838,0.0164248,0.049610697290729366,0.09922139458145873,0.1270374388920722,0.049610697290729366,33.10737582208759,117.1+/-1.2,162.8+/-1.6,162.8+/-1.6,104.2+/-1.0,546.8+/-2.8,19.04+/-0.19,0.0992+/-0.0014,0.0992+/-0.0014,0.254+/-0.004,0.00261+/-0.00004,0.00261+/-0.00004,0.000205+/-0.000010,0.000838+/-0.000032,7.9+/-0.4,32.1+/-1.3,5.35080422785189,4.17094697479307
5,2024-11-16-run01,82,0,88,19.6,546.8466666666645,128.981666666666,92.3116666666666,162.776666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.056269074004088204,0.09922139458145882,0.3968855783258347,0.0001922,0.0037671200000000005,0.056269074004088204,0.04961069729072941,0.3968855783258347,0.04961069729072941,7.593362330555169,0.0003223,0.00631708,0.028134537002044102,0.09922139458145882,0.19844278916291735,0.028134537002044102,22.45311518558502,129.0+/-1.3,92.3+/-0.9,162.8+/-1.6,162.8+/-1.6,546.8+/-2.8,19.04+/-0.19,0.0563+/-0.0008,0.0992+/-0.0014,0.397+/-0.005,0.00261+/-0.00004,0.001478+/-0.000026,0.000192+/-0.000010,0.000322+/-0.000012,5.84+/-0.31,27.1+/-1.1,5.350851719554993,4.186666903823588
7,2024-11-05-run01,73,5,91,19.6,546.8466666666645,128.981666666666,162.776666666666,92.3116666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.09922139458145882,0.056269074004088204,0.3968855783258347,3.034e-05,0.0005946640000000001,0.09922139458145882,0.028134537002044102,0.3968855783258347,0.028134537002044102,2.1136441660895113,0.001125,0.02205,0.04961069729072941,0.056269074004088204,0.19844278916291735,0.04961069729072941,44.44605942702687,129.0+/-1.3,162.8+/-1.6,92.3+/-0.9,162.8+/-1.6,546.8+/-2.8,19.04+/-0.19,0.0992+/-0.0014,0.0563+/-0.0008,0.397+/-0.005,0.001478+/-0.000026,0.00261+/-0.00004,(3.03+/-0.15)e-05,0.00112+/-0.00004,2.05+/-0.11,46.0+/-1.9,5.363066938034057,4.171007900544232
10,2024-11-10-run01,82,5,28,19.6,546.998333333332,149.6,113.18,121.441666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.06897035030575972,0.074004897435194,0.39677553354316375,5.869e-05,0.001150324,0.06897035030575972,0.037002448717597,0.39677553354316375,0.037002448717597,3.108778040013737,0.0007362,0.014429520000000001,0.03448517515287986,0.074004897435194,0.19838776677158187,0.03448517515287986,41.84267568899093,149.6+/-1.5,113.2+/-1.1,121.4+/-1.2,162.8+/-1.6,547.0+/-2.8,19.03+/-0.19,0.0690+/-0.0010,0.0740+/-0.0011,0.397+/-0.005,0.001944+/-0.000034,0.001812+/-0.000032,(5.87+/-0.30)e-05,0.000736+/-0.000028,3.03+/-0.16,42.5+/-1.8,5.357882127119695,4.181857923575281
12,2024-11-05-run01,73,6,16,19.54,543.868333333332,175.75,162.776666666666,162.776666666666,42.565,0.333333333333333,0.333333333333333,1.33333333333333,0.09976475106822191,0.09976475106822191,0.10435123697218382,0.001079,0.02108366,0.09976475106822191,0.049882375534110956,0.10435123697218382,0.049882375534110956,42.266752082772015,0.0002181,0.004261674,0.049882375534110956,0.09976475106822191,0.05217561848609191,0.049882375534110956,8.543446366313786,175.8+/-1.8,162.8+/-1.6,162.8+/-1.6,42.6+/-0.9,543.9+/-3.0,19.09+/-0.19,0.0998+/-0.0014,0.0998+/-0.0014,0.1044+/-0.0023,0.00261+/-0.00004,0.00261+/-0.00004,0.00108+/-0.00005,0.000218+/-0.000008,41.1+/-2.2,9.2+/-0.4,5.351891244099485,4.172341389484629
15,2024-11-16-run01,82,3,67,19.6,546.7899999999986,187.496666666666,92.3116666666666,162.776666666666,104.205,0.333333333333333,0.333333333333333,1.33333333333333,0.056274905458321436,0.0992316774061134,0.2541012088736078,0.0003316,0.00649936,0.056274905458321436,0.0496158387030567,0.2541012088736078,0.0496158387030567,13.099365383900267,0.0002303,0.0045138800000000005,0.028137452729160718,0.0992316774061134,0.1270506044368039,0.028137452729160718,16.042248185891985,187.5+/-1.9,92.3+/-0.9,162.8+/-1.6,104.2+/-1.0,546.8+/-2.8,19.04+/-0.19,0.0563+/-0.0008,0.0992+/-0.0014,0.254+/-0.004,0.00261+/-0.00004,0.001478+/-0.000026,0.000332+/-0.000017,0.000230+/-0.000009,9.5+/-0.5,23.3+/-1.0,5.351083681780323,4.186964186087457
17,2024-11-15-run01,94,4,73,19.6,546.7899999999986,187.496666666666,162.776666666666,92.3116666666666,104.205,0.333333333333333,0.333333333333333,1.33333333333333,0.0992316774061134,0.056274905458321436,0.2541012088736078,3.257e-05,0.0006383720000000001,0.0992316774061134,0.028137452729160718,0.2541012088736078,0.028137452729160718,2.2687625853864613,0.001051,0.020599600000000003,0.0496158387030567,0.056274905458321436,0.1270506044368039,0.0496158387030567,41.51819366248245,187.5+/-1.9,162.8+/-1.6,92.3+/-0.9,104.2+/-1.0,546.8+/-2.8,19.04+/-0.19,0.0992+/-0.0014,0.0563+/-0.0008,0.254+/-0.004,0.001478+/-0.000026,0.00261+/-0.00004,(3.26+/-0.17)e-05,0.00105+/-0.00004,2.49+/-0.13,40.7+/-1.7,5.363299014024971,4.171305473248565
19,2024-11-16-run01,82,2,22,19.52,542.5783333333312,198.921666666666,18.1033333333333,162.776666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.011121793985712263,0.10000194544361733,0.4000077817744687,9.392e-05,0.0018333184,0.011121793985712263,0.050000972721808666,0.4000077817744687,0.011121793985712263,16.484016898309687,0.0,0.0,0.005560896992856132,0.10000194544361733,0.20000389088723436,0.005560896992856132,0.0,198.9+/-2.0,18.1+/-0.4,162.8+/-1.6,162.8+/-1.6,542.6+/-3.1,19.11+/-0.20,0.01112+/-0.00026,0.1000+/-0.0014,0.400+/-0.006,0.000582+/-0.000014,0.000291+/-0.000007,(9.4+/-0.5)e-05,0.0+/-0,12.8+/-0.7,1.17+/-0.05,5.640354245965263,4.536440102295648
21,2024-11-15-run01,94,2,85,19.59,546.3216666666652,198.921666666666,92.3116666666666,92.3116666666666,162.776666666666,0.333333333333333,0.333333333333333,1.33333333333333,0.05632314702673135,0.05632314702673135,0.39726697438118813,2.8e-05,0.00054852,0.05632314702673135,0.028161573513365675,0.39726697438118813,0.028161573513365675,1.9477604819903571,0.0005881,0.011520879000000001,0.028161573513365675,0.05632314702673135,0.19863348719059407,0.028161573513365675,40.90992640923318,198.9+/-2.0,92.3+/-0.9,92.3+/-0.9,162.8+/-1.6,546.3+/-2.9,19.04+/-0.19,0.0563+/-0.0008,0.0563+/-0.0008,0.397+/-0.005,0.001479+/-0.000026,0.001479+/-0.000026,(2.80+/-0.14)e-05,0.000588+/-0.000022,2.11+/-0.11,40.5+/-1.7,5.363469833436403,4.187182995274998
