global_index,c#methoxybenzaldehyde_[M],c#ethyl_acetoacetate_[M],c#ammonium_acetate_[M],19d_c_HPLC_[M],19d_y_HPLC_[%],19e_c_HPLC_[M],19e_y_HPLC_[%],19k_c_HPLC_[M],19k_y_HPLC_[%],19j_c_HPLC_[M],19j_y_HPLC_[%]
1,0.011318616,0.011318616,0.106450423,0,0,0.001445,25.5615,0,0,0,0
4,0.011212445,0.100817036,0.105451899,0.00712,63.5,0,0,0.000727667,13,0.000338333,3.033333333
7,0.027161255,0.054491073,0.104998304,0.00184,6.75,0.00385,28.3435,0.002445,18,0.00047,1.75
10,0.069469039,0.074539988,0.104504316,0.00936,25.1,0.005743333,16.53633333,0.0163,46.93333333,0.000861,2.333333333
13,0.100817036,0.011212445,0.105451899,5.05E-05,0.9,0.0071,63.344,0,0,0,0
16,0.099764751,0.099764751,0.104351237,0.020466667,41.03333333,0.00514,10.30233333,0.0308,61.76666667,0.00111,2.2
19,0.011203667,0.011203667,0.402952438,0,0,0.00197,35.136,0,0,0.0001375,2.45
22,0.011121794,0.100001945,0.400007782,0.001155,10.4,0.0005265,9.4655,0.0006405,11.55,0.0010245,9.25
25,0.027016803,0.054201273,0.399398036,0.000616667,2.3,0.00503,37.25733333,0.001243333,9.2,0.000730667,2.7
28,0.06897035,0.074004897,0.396775534,0.001155,3.1,0.01525,44.272,0.00511,14.8,0.00149,4
31,0.100001945,0.011121794,0.400007782,0.000174333,3.1,0.00723,65.021,5.73E-05,1.033333333,0.000115333,2.066666667
34,0.099688073,0.099688073,0.398752291,0.003066667,6.166666667,0.018433333,36.99333333,0.015266667,30.6,0.00278,5.566666667
37,0.01120228,0.057122142,0.105356303,0.00125,11.1,0.0010115,18.048,0.000516,9.25,0.000352,3.1
40,0.057122142,0.01120228,0.105356303,0,0,0.005185,46.323,0.000154,2.75,0.0003735,6.7
43,0.056779052,0.056779052,0.104723506,0.002815,9.9,0.00846,29.805,0.007945,28,0.000724,2.55
46,0.056649433,0.099892095,0.104484436,0.0182,36.4,0.00206,7.270333333,0.0143,50.43333333,0.000807,1.633333333
49,0.099892095,0.056649433,0.104484436,0.003125,11.05,0.0135,27.0765,0.0162,57.2,0.000977,3.45
52,0.011223463,0.011223463,0.258414497,0,0,0.00133,23.672,0,0,0,0
55,0.0111091,0.056646999,0.255781344,0.0004835,4.35,0.00146,26.2755,0.00035,6.3,0.00047,4.2
58,0.011134243,0.100113885,0.256360265,0.00175,15.7,0.0004475,8.043,0.0007645,13.75,0.0007945,7.1
61,0.056646999,0.0111091,0.255781344,1.62E-05,0.3,0.00682,61.381,0,0,0.000261,4.7
64,0.056385761,0.056385761,0.254601761,0.00109,3.866666667,0.011633333,41.35766667,0.00379,13.46666667,0.000822333,2.933333333
67,0.056274905,0.099231677,0.254101209,0.003305,6.65,0.008965,31.872,0.00833,29.6,0.002,4.05
70,0.100113885,0.011134243,0.256360265,0.0001505,2.7,0.007435,66.7695,0.000125,2.25,0,0
73,0.099231677,0.056274905,0.254101209,0.00072,2.55,0.0209,42.091,0.005235,18.6,0.0008385,2.95
76,0.099221395,0.099221395,0.254074878,0.00404,8.15,0.01655,33.3465,0.01895,38.25,0.002465,4.95
79,0.011138628,0.056797568,0.40061323,0.0004335,3.9,0.001112,19.98,0.0003665,6.55,0.0005735,5.15
82,0.056797568,0.011138628,0.40061323,7.45E-05,1.35,0.007255,65.1145,0,0,0.0007355,13.2
85,0.056323147,0.056323147,0.397266974,0.0006125,2.15,0.0119,42.3395,0.002685,9.5,0.0009145,3.25
88,0.056269074,0.099221395,0.396885578,0.002245,4.5,0.009255,32.882,0.006215,22.1,0.00235,4.7
91,0.099221395,0.056269074,0.396885578,0.000574,2.033333333,0.0232,46.75066667,0.004003333,14.23333333,0.000791,2.8
