Index,Mn,Fe,Co,Ni,Cu,M1-Fe,M1-Co,Yield_of_styrene_oxide (%),Yield_of_benzaldehyde (%),Selectivity_of_styrene_oxide (%)
0,0,0,0,0,1,0,1,35.39120133,0,100
1,0,0,0,0.2,0.8,0,1,33.72203936,2.989491026,91.85681
2,0,0,0,0.4,0.6,0,1,18.93393404,3.184409703,85.60286
3,0,0,0,0.6,0.4,0,1,16.93608553,2.451530344,87.35517
4,0,0,0,0.8,0.2,0,1,16.35797477,1.166882568,93.34156
5,0,0,0,1,0,0,1,6.968577353,3.52057985,66.43601
6,0,0,0.2,0,0.8,0,1,56.70013253,0.573457355,98.99874
7,0,0,0.2,0.2,0.6,0,1,53.55531381,3.530510515,93.81543
8,0,0,0.2,0.4,0.4,0,1,49.44407499,3.01858562,94.24622
9,0,0,0.2,0.6,0.2,0,1,49.22569349,2.491679907,95.18212
10,0,0,0.2,0.8,0,0,1,34.52551629,11.68078187,74.72037
11,0,0,0.4,0,0.6,0,1,55.15969496,1.692988468,97.02215
12,0,0,0.4,0.2,0.4,0,1,52.09824807,3.641061826,93.46769
13,0,0,0.4,0.4,0.2,0,1,48.47708071,2.210050326,95.63982
14,0,0,0.4,0.6,0,0,1,25.63706096,1.232867955,95.41172
15,0,0,0.6,0,0.4,0,1,52.41752683,3.121475579,94.37967
16,0,0,0.6,0.2,0.2,0,1,48.93528832,1.20170871,97.60315
17,0,0,0.6,0.4,0,0,1,31.46688906,0,100
18,0,0,0.8,0,0.2,0,1,47.63662017,1.470967924,97.0046
19,0,0,0.8,0.2,0,0,1,30.94106272,1.653097566,94.92824
20,0,0,1,0,0,0,1,29.49372753,2.444368591,92.34654
21,0,0.2,0,0,0.8,0,1,34.01242901,2.357416639,93.51821
22,0,0.2,0,0.2,0.6,0,1,23.90695933,2.479985401,90.60147
23,0,0.2,0,0.4,0.4,0,1,16.28901937,1.28340387,92.69649
24,0,0.2,0,0.6,0.2,0,1,15.29142249,3.476297741,81.47725
25,0,0.2,0,0.8,0,0,1,6.582441963,4.00559719,62.16866
26,0,0.2,0.2,0,0.6,0,1,55.4520662,1.848996256,96.77319
27,0,0.2,0.2,0.2,0.4,0,1,52.88638732,2.827086425,94.92567
28,0,0.2,0.2,0.4,0.2,0,1,46.79339151,1.083930007,97.73603
29,0,0.2,0.2,0.6,0,0,1,20.64913698,2.392379218,89.61709
30,0,0.2,0.4,0,0.4,0,1,53.17428292,3.27641743,94.19597
31,0,0.2,0.4,0.2,0.2,0,1,49.74331537,3.449934837,93.51434
32,0,0.2,0.4,0.4,0,0,1,29.74256315,2.560167619,92.07445
33,0,0.2,0.6,0,0.2,0,1,50.5738338,1.73604189,96.68123
34,0,0.2,0.6,0.2,0,0,1,32.34771352,1.802455845,94.72197
35,0,0.2,0.8,0,0,0,1,33.70080241,1.974582184,94.46514
36,0,0.4,0,0,0.6,0,1,49.98043561,4.100349382,92.4181
