reactions,[SN10H01](mM),[HBr](mM),Temperature,yield,reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield#SN1Br01,yield#SN1Br01s1,run_name,spectrum_dir
1,5.7421750100299995,14.1949196522,26.0,0.5752934313763431,1,384.0226973,95.285,0,20.6923027,0.0,0.0,1,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0024387394449463,2.060125859967033e-05,0.0103682248654896,0.5717057213947272,0.0035877099816159,simple-reactions/2023-07-05-run01/,C:\
3,5.7421750101448,59.138246896322705,26.0,0.969703110650778,3,318.5076430000001,95.285,0,86.20735699,0.0,0.0,3,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0001739700409062,2.062164920666565e-05,0.0084884358827043,0.966111849644237,0.0035912610065407,simple-reactions/2023-07-05-run01/,C:\
4,22.90000004,66.2345617255,26.0,0.9161716854213012,4,23.44816075,380.0,0,96.55183925,0.0,0.0,4,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0019196684072053,9.51288860224455e-06,0.0079308917214644,0.915756275439396,0.0004154099819051,simple-reactions/2023-07-05-run01/,C:\
5,17.18072503001,68.6,26.0,0.9259425511214951,5,114.905,285.095,0,100.0,0.0,0.0,5,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0012723606656056,1.980553426867852e-05,0.0133949464219028,0.9247897747261984,0.0011527763952966,simple-reactions/2023-07-05-run01/,C:\
6,22.90000004,28.38754931292,26.0,0.7677718095113413,6,78.61873278,380.0,0,41.38126722,0.0,0.0,6,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0053180255714794,2.06094441560096e-05,0.0101245713645845,0.7668718337855767,0.0008999757257646,simple-reactions/2023-07-05-run01/,C:\
7,5.7421750099151,23.6566727565868,26.0,0.7836018645978191,7,370.2300543,95.285,0,34.48494571,0.0,0.0,7,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0012425959652986,4.227067469035041e-07,0.0026274771309596,0.7835282502015019,7.361439631735463e-05,simple-reactions/2023-07-05-run01/,C:\
10,11.4614500195615,33.1184258605952,26.0,0.8209938003914549,10,261.5324113,190.19,0,48.27758872,0.0,0.0,10,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0020516706100049,1.2528510543422149e-05,0.0087367900594446,0.8199007004327201,0.0010930999587346,simple-reactions/2023-07-05-run01/,C:\
11,17.1807250286355,61.5036851647197,26.0,0.9063607899054416,11,125.24948229999998,285.095,0,89.65551774,0.0,0.0,11,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0016087895205332,2.0600057669445773e-05,0.0104787526505574,0.9051617684651292,0.0011990214403123,simple-reactions/2023-07-05-run01/,C:\
12,11.461450019103,61.5036851647197,26.0,0.9352216789786802,12,220.15448230000004,190.19,0,89.65551774,0.0,0.0,12,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0007424534887072,8.648342906667677e-06,0.013673856943489,0.9344671197481942,0.0007545592304859,simple-reactions/2023-07-05-run01/,C:\
14,17.1807250306972,40.2147406938885,26.0,0.8681907643562706,14,156.282929,285.095,0,58.62207098,0.0,0.0,14,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.0022645782341012,2.060748422889428e-05,0.009037562391189,0.8669913106549819,0.0011994537012887,simple-reactions/2023-07-05-run01/,C:\
