reactions,DMF,SN1OH01,SN1OH01_dil_x_100,HBr,HBr_dil_x_10,HBr_dil_x_10000,vial_id,reaction_plate_id,diluted_plate_id,craic_folder,is_outlier,craic_folder_undil,c#SN1OH01,c#HBr,Temperature,pc#SN1OH01,pc#SN1Br01s1,pc#carbocat,yield,yield#SN1Br01,yield#SN1Br01s1,run_name
1,384.0226973,95.285,0,20.6923027,0.0,0.0,1,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.00574217501003,0.014194919652200001,26,0.0024387394449463537,2.0601258599670335e-05,0.010368224865489634,0.5752934313763431,0.5717057213947272,0.003587709981615957,simple-reactions/2023-07-05-run01/
3,318.5076430000001,95.285,0,86.20735699,0.0,0.0,3,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175010144843,0.059138246896322764,26,0.00017397004090622664,2.062164920666565e-05,0.00848843588270437,0.969703110650778,0.966111849644237,0.0035912610065407047,simple-reactions/2023-07-05-run01/
4,23.44816075,380.0,0,96.55183925,0.0,0.0,4,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.0662345617255,26,0.0019196684072053359,9.51288860224455e-06,0.007930891721464441,0.9161716854213012,0.915756275439396,0.0004154099819051593,simple-reactions/2023-07-05-run01/
5,114.905,285.095,0,100.0,0.0,0.0,5,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725030010002,0.06860000000000001,26,0.0012723606656056135,1.9805534268678517e-05,0.013394946421902865,0.9259425511214951,0.9247897747261984,0.0011527763952966885,simple-reactions/2023-07-05-run01/
6,78.61873278,380.0,0,41.38126722,0.0,0.0,6,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.02838754931292,26,0.005318025571479415,2.06094441560096e-05,0.0101245713645845,0.7677718095113413,0.7668718337855767,0.0008999757257646537,simple-reactions/2023-07-05-run01/
7,370.2300543,95.285,0,34.48494571,0.0,0.0,7,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009915157,0.02365667275658687,26,0.0012425959652986394,4.227067469035041e-07,0.002627477130959677,0.7836018645978191,0.7835282502015019,7.361439631735463e-05,simple-reactions/2023-07-05-run01/
10,261.5324113,190.19,0,48.27758872,0.0,0.0,10,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019561541,0.03311842586059527,26,0.002051670610004996,1.2528510543422149e-05,0.00873679005944461,0.8209938003914549,0.8199007004327201,0.0010930999587346652,simple-reactions/2023-07-05-run01/
11,125.24948229999998,285.095,0,89.65551774,0.0,0.0,11,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.017180725028635543,0.0615036851647197,26,0.0016087895205332409,2.0600057669445773e-05,0.010478752650557477,0.9063607899054416,0.9051617684651292,0.001199021440312393,simple-reactions/2023-07-05-run01/
12,220.15448230000004,190.19,0,89.65551774,0.0,0.0,12,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019103085,0.0615036851647197,26,0.000742453488707271,8.648342906667677e-06,0.013673856943489077,0.9352216789786802,0.9344671197481942,0.0007545592304859567,simple-reactions/2023-07-05-run01/
14,156.282929,285.095,0,58.62207098,0.0,0.0,14,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.01718072503069723,0.04021474069388858,26,0.0022645782341012897,2.060748422889428e-05,0.009037562391189023,0.8681907643562706,0.8669913106549819,0.0011994537012887626,simple-reactions/2023-07-05-run01/
15,335.718403,95.285,0,0.0,68.99659696,0.0,15,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175010489373,0.004733166551834652,26,0.004575563204649334,2.060865180789884e-05,0.017615850897493485,0.203165491074194,0.19957649356536636,0.0035889975088276662,simple-reactions/2023-07-05-run01/
17,315.0594823,95.285,0,89.65551774,0.0,0.0,17,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009570626,0.0615036851647197,26,0.00034500011750091735,0.009056563300744034,0.009536814399133328,0.9399182161940558,-0.6372826329004484,1.5772008490945042,simple-reactions/2023-07-05-run01/
19,371.3330758,95.285,0,0.0,0.0,33.3819242,19,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175010029999,2.29000000012e-06,26,0.006715280824401628,2.0615733456583627e-05,0.006378619163643989,0.0,-0.17305664597342554,0.003590230778507032,simple-reactions/2023-07-05-run01/
21,390.9190188,95.285,0,13.7959812,0.0,0.0,21,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.00574217501003,0.0094640431032,26,0.0032224186301423115,2.0613967638248378e-05,0.012229734095103806,0.4388156709759573,0.4352257477147816,0.003589923261175678,simple-reactions/2023-07-05-run01/
22,30.34448226,380.0,0,89.65551774,0.0,0.0,22,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.06150368516964,26,0.0019616320814901155,2.877025721593123e-06,0.009261575825349309,0.9143392105649046,0.9142135762541376,0.00012563431076715066,simple-reactions/2023-07-05-run01/
23,335.7484468,95.285,0,68.96655323,0.0,0.0,23,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009685469,0.04731105551294135,26,0.0003949468915162361,2.0899725950721646e-05,0.007109919437930323,0.9312199835689318,0.9275802954863724,0.003639688082559232,simple-reactions/2023-07-05-run01/
24,88.96321504,380.0,0,31.03678496,0.0,0.0,24,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.02129123448256,26,0.007147912164515833,2.060758540694345e-05,0.020067456325960686,0.6878640981646115,0.6869642036069281,0.0008998945576833043,simple-reactions/2023-07-05-run01/
25,20.0,380.0,0,100.0,0.0,0.0,25,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.022900000040000004,0.06860000000000001,26,0.0017342694659313006,9.009910499521051e-07,0.012788453116928609,0.9242677090435804,0.9242283644563148,3.9344587265428894e-05,simple-reactions/2023-07-05-run01/
26,356.4374113,95.285,0,48.27758872,0.0,0.0,26,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.005742175009800313,0.03311842586059527,26,0.0009356914168598992,3.342478217230563e-05,0.012744166600534457,0.8370493035717422,0.8312283764639374,0.005820927107804746,simple-reactions/2023-07-05-run01/
27,247.7397683,190.19,0,62.07023173,0.0,0.0,27,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019332313,0.0425801789642252,26,0.0011110224199586617,1.0025394103309238e-05,0.012011903568227787,0.9030644099930925,0.9021897044291016,0.000874705563990521,simple-reactions/2023-07-05-run01/
28,227.0508038,190.19,0,82.75919624,0.0,0.0,28,54,57,2023-07-05_19-25-51__plate0000057__simple_reactions_2023-07-05-run01_dil,0,2023-07-05_18-02-13__plate0000054__simple_reactions_2023-07-05-run01,0.011461450019103085,0.05677280861609816,26,0.0008677277456942957,8.946637254483859e-06,0.008599461335951464,0.924291625907016,0.9235110407943492,0.0007805851126665715,simple-reactions/2023-07-05-run01/
