yield of 15d,[Alcohol](mM),[HBr](mM),Temperature(°C),spectrum_dir
-0.010656059567715205,5.742000000000001,0.0,6.0,C:\
0.000905966391776758,5.742000000000001,0.0,21.0,C:\
0.003797866803822103,5.742000000000001,0.0,36.0,C:\
-0.005769633587803469,5.742000000000001,0.0,51.0,C:\
-0.0403509436281837,5.742000000000001,0.0,66.0,C:\
-0.001741759835269363,5.742000000000001,17.15,6.0,C:\
0.01543431722154054,5.742000000000001,17.15,21.0,C:\
0.025601983017466527,5.742000000000001,17.15,36.0,C:\
0.020558887450526697,5.742000000000001,17.15,51.0,C:\
-0.014105631711537113,5.742000000000001,17.15,66.0,C:\
-0.01635429251773246,5.742000000000001,34.3,6.0,C:\
0.0029890222726862703,5.742000000000001,34.3,21.0,C:\
0.014656881177536718,5.742000000000001,34.3,36.0,C:\
0.01228738148976305,5.742000000000001,34.3,51.0,C:\
-0.016265985508944425,5.742000000000001,34.3,66.0,C:\
-0.017662203935593368,5.742000000000001,51.45,6.0,C:\
0.0031453041872637755,5.742000000000001,51.45,21.0,C:\
0.009927119819536756,5.742000000000001,51.45,36.0,C:\
0.003610835608732543,5.742000000000001,51.45,51.0,C:\
-0.02091099132351104,5.742000000000001,51.45,66.0,C:\
-0.008882591635121173,5.742000000000001,68.6,6.0,C:\
0.013218355340242738,5.742000000000001,68.6,21.0,C:\
0.014997235024530653,5.742000000000001,68.6,36.0,C:\
0.0032633341547807504,5.742000000000001,68.6,51.0,C:\
-0.020140066926039424,5.742000000000001,68.6,66.0,C:\
0.11693254550403155,10.0315,0.0,6.0,C:\
0.15108713092992332,10.0315,0.0,21.0,C:\
0.1548463489565286,10.0315,0.0,36.0,C:\
0.11881010888741272,10.0315,0.0,51.0,C:\
0.03848879361013146,10.0315,0.0,66.0,C:\
0.11475083147814047,10.0315,17.15,6.0,C:\
0.1630540093994881,10.0315,17.15,21.0,C:\
0.18113356800552086,10.0315,17.15,36.0,C:\
0.14879279859134442,10.0315,17.15,51.0,C:\
0.0610465003243803,10.0315,17.15,66.0,C:\
0.06797597355806317,10.0315,34.3,6.0,C:\
0.12234368869069813,10.0315,34.3,21.0,C:\
0.14779991307632656,10.0315,34.3,36.0,C:\
0.12217031357302233,10.0315,34.3,51.0,C:\
0.04345201211416594,10.0315,34.3,66.0,C:\
0.037904543124327006,10.0315,51.45,6.0,C:\
0.09181008149920444,10.0315,51.45,21.0,C:\
0.11240603312131013,10.0315,51.45,36.0,C:\
0.08689778970541795,10.0315,51.45,51.0,C:\
0.021316994567669667,10.0315,51.45,66.0,C:\
0.03188485300705679,10.0315,68.6,6.0,C:\
0.08043617908911216,10.0315,68.6,21.0,C:\
0.0918601204018188,10.0315,68.6,36.0,C:\
0.06451505285733106,10.0315,68.6,51.0,C:\
0.01087656469840681,10.0315,68.6,66.0,C:\
0.16233171364201482,14.320999999999998,0.0,6.0,C:\
0.2012633507923489,14.320999999999998,0.0,21.0,C:\
0.2015534091551885,14.320999999999998,0.0,36.0,C:\
0.15617823817202492,14.320999999999998,0.0,51.0,C:\
0.06047894584030189,14.320999999999998,0.0,66.0,C:\
