yield,Alcohol(mM),HBr(mM),Temperature(°C)
-0.031617607310682416,30.0,0.0,16.0
0.03600789350886657,30.0,0.0,28.5
0.07714869679327663,30.0,0.0,41.0
0.028797847182069347,30.0,0.0,53.5
0.08886762243616175,30.0,0.0,66.0
0.5980436914908012,30.0,75.0,16.0
0.9587272300905347,30.0,75.0,28.5
1.0180650503516446,30.0,75.0,41.0
0.8827330322532063,30.0,75.0,53.5
0.94670358107998,30.0,75.0,66.0
0.8419247923465107,30.0,150.0,16.0
0.9618137240679303,30.0,150.0,28.5
0.956318994849326,30.0,150.0,41.0
0.9011103878327518,30.0,150.0,53.5
0.9400052878705978,30.0,150.0,66.0
0.8955206553400039,30.0,225.0,16.0
0.9399612518728944,30.0,225.0,28.5
0.9395162246347226,30.0,225.0,41.0
0.8990404037755013,30.0,225.0,53.5
0.9095541712811013,30.0,225.0,66.0
0.9191387092193146,30.0,300.0,16.0
0.9418555320638049,30.0,300.0,28.5
0.9421421994859571,30.0,300.0,41.0
0.876152628798927,30.0,300.0,53.5
0.8808870027657321,30.0,300.0,66.0
0.08208206852141409,97.5,0.0,16.0
0.0971809344778869,97.5,0.0,28.5
0.07725894603915862,97.5,0.0,41.0
0.08237397265167345,97.5,0.0,53.5
0.10320685653572426,97.5,0.0,66.0
0.6365312651100936,97.5,75.0,16.0
0.9055458213996914,97.5,75.0,28.5
0.9763327176524683,97.5,75.0,41.0
0.9422450956737478,97.5,75.0,53.5
0.9916921228212559,97.5,75.0,66.0
0.7181519142074286,97.5,150.0,16.0
0.8579506702459998,97.5,150.0,28.5
0.9086866776438338,97.5,150.0,41.0
0.8621868921214997,97.5,150.0,53.5
0.9113679230419791,97.5,150.0,66.0
0.8328658918716965,97.5,225.0,16.0
0.9013499611904852,97.5,225.0,28.5
0.9303549495145944,97.5,225.0,41.0
0.881291635679176,97.5,225.0,53.5
0.9022215138947303,97.5,225.0,66.0
0.871725365240895,97.5,300.0,16.0
0.9045309560853987,97.5,300.0,28.5
0.9170238955187564,97.5,300.0,41.0
0.8868459537450093,97.5,300.0,53.5
0.8597767923034318,97.5,300.0,66.0
0.10508605438518792,165.0,0.0,16.0
0.0704744290038044,165.0,0.0,28.5
0.03414533307100731,165.0,0.0,41.0
0.06400326394893696,165.0,0.0,53.5
0.008270905849315113,165.0,0.0,66.0
0.8960023783506745,165.0,75.0,16.0
1.0257829615765601,165.0,75.0,28.5
1.026025390759569,165.0,75.0,41.0
1.0258018184311917,165.0,75.0,53.5
1.0075236793180125,165.0,75.0,66.0
0.6794912684050294,165.0,150.0,16.0
0.7976414739418569,165.0,150.0,28.5
0.863845864846887,165.0,150.0,41.0
0.8536618624548051,165.0,150.0,53.5
0.8936550011915383,165.0,150.0,66.0
0.7377181465247382,165.0,225.0,16.0
0.80178869891399,165.0,225.0,28.5
0.8466193019118453,165.0,225.0,41.0
0.8189324417199728,165.0,225.0,53.5
0.8452950899488272,165.0,225.0,66.0
0.7945985945592593,165.0,300.0,16.0
0.8379308648002972,165.0,300.0,28.5
0.8717752463057327,165.0,300.0,41.0
0.8370448430125919,165.0,300.0,53.5
0.8343173289370291,165.0,300.0,66.0
0.09214538068596312,232.5,0.0,16.0
0.07138669082233795,232.5,0.0,28.5
0.0518085126533494,232.5,0.0,41.0
0.06686217346465595,232.5,0.0,53.5
0.04998703458712672,232.5,0.0,66.0
1.0110962394779919,232.5,75.0,16.0
1.0220134082403405,232.5,75.0,28.5
1.0262177622871045,232.5,75.0,41.0
1.0199035502254061,232.5,75.0,53.5
1.02623960940263,232.5,75.0,66.0
0.8057962636843499,232.5,150.0,16.0
0.9171610971696413,232.5,150.0,28.5
0.9894031625897988,232.5,150.0,41.0
0.9870175887176895,232.5,150.0,53.5
0.9994530582614809,232.5,150.0,66.0
0.6832403118240142,232.5,225.0,16.0
0.7295428899710634,232.5,225.0,28.5
0.7997976077778919,232.5,225.0,41.0
0.7997369509999039,232.5,225.0,53.5
0.81720290389271,232.5,225.0,66.0
0.7341208902910505,232.5,300.0,16.0
0.7525803857331237,232.5,300.0,28.5
0.7966501497814136,232.5,300.0,41.0
0.788103807885884,232.5,300.0,53.5
0.7729756787370867,232.5,300.0,66.0
0.10089247248393285,300.0,0.0,16.0
0.08380759223610923,300.0,0.0,28.5
0.0864933106382324,300.0,0.0,41.0
0.08550014020754304,300.0,0.0,53.5
0.0983682194369151,300.0,0.0,66.0
1.0205813451826895,300.0,75.0,16.0
1.018647308643045,300.0,75.0,28.5
1.0251588229175486,300.0,75.0,41.0
1.0166520723162975,300.0,75.0,53.5
1.0246439770792835,300.0,75.0,66.0
0.8733420294556176,300.0,150.0,16.0
0.9452577181997768,300.0,150.0,28.5
1.0100773686210403,300.0,150.0,41.0
1.004597963681908,300.0,150.0,53.5
0.9887176263532877,300.0,150.0,66.0
0.7328755265710853,300.0,225.0,16.0
0.7527358838736564,300.0,225.0,28.5
0.860129763159283,300.0,225.0,41.0
0.8892817738643473,300.0,225.0,53.5
0.8589866725215245,300.0,225.0,66.0
0.6538020107835791,300.0,300.0,16.0
0.6782207302082872,300.0,300.0,28.5
0.7245570160747761,300.0,300.0,41.0
0.752597453757911,300.0,300.0,53.5
0.7038034650003109,300.0,300.0,66.0
