ic001,am001,ald001,ptsa,yield
0.12,0.12,0.12,0.02193103448275862,-0.0003907339325130225
0.12,0.12,0.12,0.024739811912225705,-0.0003439839476018062
0.12,0.12,0.12,0.02754858934169279,-0.0002642023109945129
0.12,0.12,0.12,0.030357366771159872,-0.00015152472896702628
0.12,0.12,0.12,0.033166144200626954,-6.086907795228077e-06
0.12,0.12,0.12,0.03597492163009404,0.00017197544624499814
0.12,0.12,0.12,0.038783699059561125,0.00038252662687776834
0.12,0.12,0.12,0.04159247648902821,0.0006254309278272011
0.12,0.12,0.12,0.044401253918495295,0.000900552642817412
0.12,0.12,0.12,0.04721003134796238,0.0012077560655725194
0.12,0.12,0.12,0.050018808777429466,0.0015469054898166387
0.12,0.12,0.12,0.05282758620689655,0.0019178652092738868
0.12,0.12,0.12,0.05563636363636363,0.002320499517668381
0.12,0.12,0.12,0.058445141065830715,0.0027546727087242396
0.12,0.12,0.12,0.0612539184952978,0.0032202490761655787
0.12,0.12,0.12,0.06406269592476488,0.0037170929137165134
0.12,0.12,0.12,0.06687147335423196,0.004245068515101164
0.12,0.12,0.12,0.06968025078369905,0.0048040401740436466
0.12,0.12,0.12,0.07248902821316613,0.005393872184268076
0.12,0.12,0.12,0.07529780564263322,0.006014428839498571
0.12,0.12,0.12,0.0781065830721003,0.006665574433459246
0.12,0.12,0.12,0.08091536050156739,0.007347173259874222
0.12,0.12,0.12,0.08372413793103448,0.008059089612467613
0.12,0.12,0.12,0.08653291536050156,0.008801187784963539
0.12,0.12,0.12,0.08934169278996865,0.009573332071086111
0.12,0.12,0.12,0.09215047021943573,0.010375367749585182
0.12,0.12,0.12,0.09495924764890282,0.011204839287323956
0.12,0.12,0.12,0.0977680250783699,0.012054822632212246
0.12,0.12,0.12,0.10057680250783699,0.012917880327854583
0.12,0.12,0.12,0.10338557993730407,0.013786574917855496
0.12,0.12,0.12,0.10619435736677116,0.014653468945819512
0.12,0.12,0.12,0.10900313479623824,0.015511124955351167
0.12,0.12,0.12,0.11181191222570533,0.016352105490054985
0.12,0.12,0.12,0.11462068965517241,0.0171689730935355
0.12,0.12,0.12,0.1174294670846395,0.017954290309397235
0.12,0.12,0.12,0.12023824451410658,0.018700619681244732
