ic001,ald001,am001,ptsa,IIO029A,yield,reaction_plate_id,diluted_plate_id,vial_id,is_outlier,v3_model_yield
0.24,0.3,0.3,0.0219310344827586,1.1053669296204006e-10,4.6056955400850014e-10,36,47,0,0,0.00014159548248219924
0.12,0.12,0.12,0.1510344827586207,0.0026529411124098,0.0221078426034152,36,47,1,0,0.008690974085467418
0.24,0.24,0.3,0.061655172413793,-1.2559345800164296e-11,0.0,36,47,2,0,0.0002053371189023156
0.3,0.24,0.3,0.2304827586206896,0.0080975681741081,0.0337398673921173,36,47,3,0,0.05160994181897772
0.24,0.18,0.12,0.2702068965517241,0.002500315666916,0.0208359638909669,36,47,4,0,2.8743081723844864e-07
0.3,0.15,0.21,0.1113103448275862,0.0011442353650121,0.0076282357667477,36,47,5,0,0.0037216568241547443
0.18,0.18,0.12,0.0914482758620689,0.004284359389817,0.0357029949151423,36,47,6,0,0.0552725722733175
0.3,0.3,0.18,0.0417931034482758,0.0015033880682577,0.0083521559347653,36,47,7,0,0.003587312880863365
0.27,0.12,0.21,0.0914482758620689,4.5796543290395114e-09,3.8163786075329255e-08,36,47,8,0,0.0006156408107020216
0.15,0.12,0.24,0.0715862068965517,9.745872399183347e-12,8.12156033265279e-11,36,47,9,0,5.7745112492489204e-05
0.24,0.18,0.3,0.0815172413793103,3.1513850619027132e-09,1.7507694788348406e-08,36,47,10,0,0.00010488831395619813
0.15,0.12,0.3,0.0914482758620689,-1.1549630379733903e-11,0.0,36,47,11,0,3.3151054140006776e-05
0.15,0.18,0.12,0.1311724137931034,0.0054217597820576,0.045181331517147,36,47,12,0,0.04438691541248374
0.18,0.24,0.18,0.1907586206896552,0.0079034371463619,0.0439079841464549,36,47,13,0,0.04708945112105914
0.24,0.3,0.3,0.2106206896551724,0.007793142254438,0.0324714260601585,36,47,14,0,0.033735101243556026
0.3,0.15,0.12,0.061655172413793,0.0027129905250246,0.0226082543752056,36,47,15,0,0.021501802281083716
0.18,0.3,0.24,0.0815172413793103,0.001392451016441,0.0077358389802282,36,47,16,0,0.002582250567735854
0.24,0.3,0.18,0.2304827586206896,0.0096679500109258,0.0537108333940326,36,47,17,0,0.052647152872044835
0.3,0.15,0.27,0.2106206896551724,0.0054721309964895,0.0364808733099306,36,47,18,0,0.047024259627623875
0.12,0.24,0.3,0.0914482758620689,4.508623765657808e-09,3.757186471381506e-08,36,47,19,0,0.0006448262757180542
0.24,0.12,0.3,0.2503448275862068,0.004524062101517,0.0377005175126423,36,47,20,0,0.04512101909045047
0.15,0.12,0.21,0.1212413793103448,0.000317689914435,0.0026474159536255,36,47,21,0,0.0019310943361982738
0.21,0.12,0.18,0.0219310344827586,1.7045805165576578e-10,1.420483763798048e-09,36,47,22,0,5.224781058968912e-05
0.18,0.18,0.18,0.1907586206896552,0.0083885500762822,0.0466030559793458,36,47,23,0,0.03990254222004092
0.24,0.15,0.12,0.2801379310344828,0.0022792281989984,0.0189935683249873,36,47,24,0,3.0250614119089624e-07
0.12,0.12,0.18,0.2900689655172414,0.0019963102043751,0.0166359183697929,36,47,25,0,1.695197723867526e-07
